org_id,org_name,email,website
1,精技電腦,,
2,飛幕科技有限公司,,
3,永祥蔬果行,,
4,廣達電腦股份有限公司,,
5,廣益全球驗證股份有限公司,,
6,巨東儲業有限公司,,
7,大川,,
8,台積電,,
9,萊爾富國際股份有限公司,,
10,中山大學,,
11,智邦科技股份有限公司,,
12,錡瑞實業有限公司,,
13,環鴻科技股份有限公司,,
14,洋城義大利餐廳,,
15,和碩聯合科技股份有限公司,,
16,元太數位科技有限公司,,
17,松下電材,,
18,久元電子股份有限公司,,
19,林可可家的牧場,,
20,大大小小行創股份有限公司,,
21,燿華電子股份有限公司,,
22,DELOITTE,,
23,國立臺灣大學,,
24,長春石油化學股份有限公司,,
25,翌宙科技股份有限公司,,
26,國立中興大學,,
27,亞太電信股份有限公司,,
28,飛捷廣告印刷有限公司,,
29,中華精測科技股份有限公司,,
30,緯創科技,,
31,愛因斯坦人工智慧股份有限公司,,
32,南山人壽保險股份有限公司,,
33,江口設計工作室,,
34,信紘科技,,
35,資策會,,
36,中國信託商業銀行,,
37,緯創軟體股份有限公司,,
38,將來商業銀行股份有限公司,,
39,台灣之星電信股份有限公司,,
40,英特盛科技股份有限公司,,
41,桓達科技股份有限公司,,
42,群體資訊有限公司,,
43,陶板屋台中河南分公司,,
44,歐可達數據科技有限公司,,
45,台灣高速鐵路股份有限公司,,
46,碩達資訊,,
47,SGS,,
48,光寶科技股份有限公司,,
49,東元電機,,
50,中華電信研究院,,
51,金可國際股份有限公司,,
52,KPMG,,
53,長榮航太科技股份有限公司,,
54,路由藝術,,
55,喬山健康科技股份有限公司,,
56,機光科技股份有限公司,,
57,晶元光電股份有限公司,,
58,珍食堡實業股份有限公司,,
59,昇飛機械自動化科技有限公司,,
60,益華電腦科技股份有限公司,,
61,資通,,
62,瑞青企業股份有限公司,,
63,中央大學企管系,,
64,飛利昇工業股份有限公司,,
65,威剛科技股份有限公司,,
66,群創光電,,
67,古典主義創作服裝有限公司,,
68,友達光電股份有限公司,,
69,世界先進積體電路股份有限公司,,
70,中華航空,,
71,英業達股份有限公司,,
72,維康醫療用品有限公司,,
73,康是美企業有限公司,,
74,宏齊科技股份有限公司,,
75,綠舍投資管理顧問有限公司,,
76,奕傑電子股份有限公司,,
77,長庚醫院,,
78,富創國際智財法律事務所,,
79,恒耀國際股份有限公司,,
80,先驅媒體社會企業股份有限公司,,
81,COLOR,,
82,瀚庭數位有限公司,,
83,7月11日,,
84,至佳電子,,
85,超越書局,,
86,智原科技,,
87,日月光半導體製造股份有限公司,,
88,威強電工業電腦股份有限公司,,
89,查理布朗有限公司,,
90,中鼎工程股份有限公司,,
91,前茂企業股份有限公司,,
92,大同公司,,
93,禾多移動多媒體股份有限公司,,
94,億豐綜合工業股份有限公司,,
95,僑樂保全股份有限公司,,
96,卜赫馬有限公司,,
97,正新橡膠工業股份有限公司,,
98,百利通亞陶科技股份有限公司,,
99,遠傳電信股份有限公司,,
100,朝鳳居有限公司,,
101,思夢樂股份有限公司,,
102,遊戲橘子數位科技股份有限公司,,
103,宇泰華科技股份有限公司,,
104,毅翔機械有限公司,,
105,廣穎電通股份有限公司,,
106,佳生科技顧問股份有限公司,,
107,台灣國際航電股份有限公司,,
108,定揚科技股份有限公司,,
109,創創數位科技股份有限公司,,
110,時刻科技有限公司,,
111,明達醫學科技股份有限公司,,
112,昇達科技股份有限公司,,
113,上銀科技股份有限公司,,
114,昇陽地產有限公司,,
115,薪傳智庫數位科技股份有限公司,,
116,日立江森股份有限公司,,
117,GIS,,
118,和信嘉數位科技股份有限公司,,
119,財團法人台灣中小企業聯合輔導基金會,,
120,華冠通訊,,
121,米拉多科技有限公司,,
122,捷智商訊科技股份有限公司,,
123,極簡科技股份有限公司,,
124,ELSEVIER,,
125,精誠資訊股份有限公司,,
126,威朋大數據股份有限公司,,
127,大潤發流通事業股份有限公司,,
128,九豪,,
129,勤業眾信聯合會計師事務所,,
130,瑋鋒科技股份有限公司,,
131,暉創新意有限公司,,
132,聯發科技股份有限公司,,
133,廣達電腦,,
134,矽品精密工業股份有限公司,,
135,台郡科技,,
136,ADLINK,,
137,長天國際,,
138,庫幣科技,,
139,凌群電腦股份有限公司,,
140,搞之訊科技公司,,
141,勝巨光電股份有限公司,,
142,全家便利商店股份有限公司,,
143,新營文化中心圖書館,,
144,堉舜國際文化事業股份有限公司,,
145,榮創能源科技股份有限公司,,
146,台達電子工業股份有限公司,,
147,力成,,
148,立端科技股份有限公司,,
149,欣興電子,,
150,春秋光學,,
151,中原大學,,
152,統一速達股份有限公司,,
153,雄獅旅行社股份有限公司,,
154,東陽實業廠股份有限公司,,
155,國泰人壽,,
156,財團法人車輛研究測試中心,,
157,新思,,
158,中華系統整合股份有限公司,,
159,嘉捷科技企業股份有限公司,,
160,FLUX,,
161,景碩科技股份有限公司,,
162,興創知能股份有限公司,,
163,緯創資通股份有限公司,,
164,預言家數位有限公司,,
165,日月光,,
166,永鑫光電股份有限公司,,
167,QNAP,,
168,群浤科技股份有限公司,,
169,耀信塑膠有限公司,,
170,橋椿金屬股份有限公司,,
171,勤業眾信會計師事務所,,
172,聖森有限公司,,
173,宓科技有限公司,,
174,華碩電腦股份有限公司,,
175,台灣之星,,
176,台灣積體電路製造股份有限公司,,
177,京元電子股份有限公司,,
178,和碩聯合科技,,
179,工業技術研究院材料與化工研究所,,
180,大猩猩科技股份有限公司,,
181,正文科技股份有限公司,,
182,朝程工業股份有限公司,,
183,群光電能科技股份有限公司,,
184,大埔鐵板燒_千翔美食餐坊,,
185,徠誠通訊科技有限公司,,
186,點鑽整合行銷股份有限公司,,
187,新光鋼鐵股份有限公司,,
188,三緯國際立體列印科技股份有限公司,,
189,學園科技,,
190,玉山銀行,,
191,社團法人台灣評鑑協會,,
192,美律實業股份有限公司,,
193,摩莎,,
194,社團法人台灣浪愛永恆協會,,
195,中華電信,,
196,虹光精密工業股份有限公司,,
197,宏碁,,
198,盟立自動化股份有限公司,,
199,日禕紡織企業股份有限公司,,
200,牧德科技股份有限公司,,
201,馬克叔叔外語短期補習班,,
202,台灣住友培科股份有限公司,,
203,順達股份有限公司,,
204,群創光電股份有限公司,,
205,捷揚光電,,
206,富邦媒體科技股份有限公司,,
207,資誠聯合會計師事務所-新竹分所,,
208,全家便利商店,,
209,陽程科技,,
210,南亞光電股份有限公司,,
211,勤業眾信財稅顧問股份有限公司,,
212,立達軟體,,
213,神腦國際企業股份有限公司,,
214,台煒,,
215,利達數位影音科技股份有限公司,,
216,高鼎精密材料股份有限公司,,
217,聯強股份有限公司,,
218,萬鼎工程服務股份有限公司,,
219,全聯,,
220,瑞昱半導體股份有限公司,,
221,訊連科技股份有限公司,,
222,環球購物中心股份有限公司,,
223,聯萌科技股份有限公司,,
224,采鈺科技股份有限公司,,
225,宜寧中學,,
226,鴻海,,
227,直航聯合有限公司＿直航租車,,
228,富聯工程顧問股份有限公司,,
229,明日科技股份有限公司,,
230,安永聯合會計師事務所,,
231,康舒科技股份有限公司,,
232,鐶宇科技,,
233,南光化學製藥股份有限公司,,
234,日月辰工程顧問有限公司,,
235,長庚醫療財團法人,,
236,敬鵬,,
237,台灣中油股份有限公司,,
238,科聚企業有限公司,,
239,工研院分公司,,
240,MOXA,,
241,台灣信威資訊科技股份有限公司,,
242,育駿科技股份有限公司,,
243,隆芳興業股份有限公司,,
244,中磊電子股份有限公司,,
245,富利餐飲股份有限公司,,
246,騰錂鐳射,,
247,明泰科技,,
248,全漢企業股份有限公司,,
249,三枝部造股份有限公司,,
250,鉅晶國際股份有限公司,,
251,漢磊科技股份有限公司,,
252,財團法人資訊工業策進會,,
253,信源企業股份有限公司,,
254,三聯科技股份有限公司,,
255,核心技術有限公司,,
256,東森得易購,,
257,南山,,
258,典匠資訊股份有限公司,,
259,ROOTS,,
260,博格科技股份有限公司,,
261,全聯實業股份有限公司,,
262,嘉甫室內裝修工程股份有限公司,,
263,希睿,,
264,玉山商業銀行股份有限公司,,
265,景碩科技,,
266,清華大學,,
267,尼爾森行銷研究顧問股份有限公司,,
268,家福股份有限公司,,
269,台拓,,
270,仁寶電腦工業股份有限公司,,
271,錏鈦科技有限公司,,
272,金山電子工業股份有限公司,,
273,凌巨科技股份有限公司,,
274,金山電子,,
275,達盛電子,,
276,僑興資訊股份有限公司,,
277,京鉅企業有限公司,,
278,隆達電子,,
279,品興營造,,
280,達運精密工業股份有限公司,,
281,精英電腦股份有限公司,,
282,瑞基海洋生物科技股份有限公司,,
283,MOMO物流,,
284,麥士音響器材行,,
285,映畫數位廣告有限公司,,
286,城欣科技股份有限公司,,
287,總成實業股份有限公司,,
288,力成科技股份有限公司,,
289,高明鐵企業股份有限公司,,
290,香港商瑞健科技股份有限公司,,
291,英穩達科技股份有限公司,,
292,VPON威朋大數據集團,,
293,上海商業儲蓄銀行股份有限公司,,
294,真膳美饌,,
295,美光,,
296,世鎧精密有限股份公司,,
297,傑智環境科技股份有限公司,,
298,哈佛補習班,,
299,新鼎系統股份有限公司,,
300,新光人壽保險股份有限公司,,
301,匯宏科技股份有限公司,,
302,台表科,,
303,則和企業管理顧問有限公司,,
304,博報堂行效股份有限公司,,
305,光旴科技股份有限公司,,
306,維格餅家,,
307,正文科技,,
308,瑞傳科技股份有限公司,,
309,宜果國際股份有限公司,,
310,新加坡商惠普全球科技股份有限公司,,
311,鴻昌精密工業股份有限公司,,
312,台灣圓點奈米技術股份有限公司,,
313,天珩機械股份有限公司,,
314,輔仁大學,,
315,禹鼎電子,,
316,鄒錦清建築師事務所,,
317,台灣杜邦股份有限公司,,
318,恒耀工業股份有限公司,,
319,台大醫院,,
320,博彥科技有限公司,,
321,盈正豫順電子股份有限公司,,
322,南亞科技股份有限公司,,
323,醫揚科技股份有限公司,,
324,鴻海精密工業股份有限公司,,
325,富裕自由商旅有限公司,,
326,華王大飯店股份有限公司,,
327,昱冠資訊有限公司,,
328,宜庭國際有限公司,,
329,旭東機械工業股份有限公司,,
330,台林電通股份有限公司,,
331,毛寶,,
332,通騰科技股份有限公司,,
333,先勢行銷傳播集團,,
334,輝能科技股份有限公司,,
335,圓環牙醫診所,,
336,教育部科技司,,
337,旺宏電子股份有限公司,,
338,艾吉諾認證股份有限公司,,
339,益福和生醫科技股份有限公司,,
340,晶彩科技股份有限公司,,
341,台達電子,,
342,超眾科技股份有限公司,,
343,復盛應用科技股份有限公司,,
344,超豐電子股份有限公司,,
345,丸龜,,
346,東京威力科創股份有限公司,,
347,移動商務股份有限公司,,
348,桐瑛生技事業股份有限公司,,
349,鴻盛國際物流有限公司,,
350,南山人壽,,
351,明光義塾,,
352,萬寶華企業管理顧問股份有限公司,,
353,嘉暘開發有限公司,,
354,九品股份有限公司,,
355,鍋神日式涮涮鍋,,
356,神雲科技股份有限公司,,
357,美商安邁,,
358,何嘉仁,,
359,威超物業,,
360,香港商先進太平洋,,
361,友達,,
362,聯穎光電,,
363,虹京金屬股份有限公司,,
364,儒林補習班,,
365,優得利有限公司,,
366,IBM,,
367,康是美,,
368,啟碁科技股份有限公司,,
369,廷鑫興業股份有限公司,,
370,瑞昱半導體,,
371,橋樁金屬股份有限公司,,
372,台灣資生堂股份有限公司,,
373,建興,,
374,敬偉牙醫,,
375,GARMIN,,
376,六福開發股份有限公司,,
377,依田股份有限公司,,
378,台裕電業股份有限公司,,
379,小木屋鬆餅專賣店,,
380,UMC,,
381,虹堡科技股份有限公司,,
382,上統食品股份有限公司,,
383,台灣恩智浦半導體股份有限公司,,
384,艾訊股份有限公司,,
385,協欣金屬工業股份有限公司,,
386,文曄科技股份有限公司,,
387,花旗銀行,,
388,泓達企業股份有限公司,,
389,中華映管,,
390,台灣科研生物技術有限公司,,
391,佳世達科技股份有限公司,,
392,萬盟自動精機有限公司,,
393,誠雲科技股份有限公司,,
394,華資粧業股份有限公司,,
395,通又順氣動馬達製造有限公司,,
396,宸大科技,,
397,華南,,
398,新唐科技股份有限公司,,
399,尼得科超眾科技股份有限公司,,
400,明基電通股份有限公司,,
401,連展科技股份有限公司,,
402,美商世界速遞有限公司台灣分公司,,
403,惠民實業股份有限公司,,
404,義美食品,,
405,達爾膚生醫科技股份有限公司,,
406,堤維西,,
407,台灣世曦,,
408,傳奇網路遊戲股份有限公司,,
409,新光三越百貨股份有限公司,,
410,享狩數據科技股份有限公司,,
411,大亞電線電纜股份有限公司,,
412,致茂電子股份有限公司,,
413,訊映光電,,
414,南亞塑膠工業股份有限公司,,
415,統智科技股份有限公司,,
416,ASKEY,,
417,傑比行銷顧問有限公司,,
418,比菲多,,
419,金像電子,,
420,立端科技,,
421,美光記憶體,,
422,東培,,
423,穩得實業股份有限公司,,
424,趨勢科技,,
425,資誠企業管理顧問股份有限公司,,
426,大樹銀行,,
427,潘海利根股份有限公司,,
428,TSMC,,
429,矽品,,
430,碩天科技,,
431,日本料理餐廳,,
432,雄獅旅行社,,
433,齊裕,,
434,乾坤科技股份有限公司,,
435,台灣檢驗科技股份有限公司,,
436,國立臺灣師範大學,,
437,江西合力泰,,
438,遠雄人壽保險事業股份有限公司,,
439,星加坡鈦坦科技,,
440,精英人力資源股份有限公司,,
441,王浩補習班,,
442,矽統科技股份有限公司,,
443,COCO壹番屋,,
444,臺北市市場處,,
445,沛司科技股份有限公司,,
446,EVGA,,
447,高雄市立圖書館,,
448,群聯電子股份有限公司,,
449,晶達,,
450,艾爾金股份有限公司,,
451,台北市立聯合醫院,,
452,冠德霖企業有限公司,,
453,合庫營造有限公司,,
454,新萊應材,,
455,台灣松下電器股份有限公司,,
456,神通電腦股份有限公司,,
457,健泰工業股份有限公司,,
458,大瓏企業股份有限公司,,
459,惠康百貨股份有限公司,,
460,聲遠精密光學股份有限公司,,
461,南港輪胎股份有限公司,,
462,中山大學總務處,,
463,博聯生技股份有限公司,,
464,內政部營建署,,
465,荷商恩智浦積體電路有限公司,,
466,台灣世界展望會,,
467,中國信託資融股份有限公司,,
468,邁高生物技術開發股份有限公司,,
469,聯邦工程顧問股份有限公司,,
470,美商祥茂光電科技股份有限公司,,
471,台灣賓士,,
472,桃園市政府水務局,,
473,泰吉金屬股份有限公司,,
474,王品餐飲股份有限公司,,
475,人生製藥,,
476,二三設計有限公司,,
477,捷睿智能,,
478,沱江麵食館,,
479,聖暉工程科技股份有限公司,,
480,立成製麵,,
481,華通電腦股份有限公司,,
482,集盛,,
483,晶英國際股份有限公司,,
484,KKBOX,,
485,三福氣體股份有限公司,,
486,中央研究院化學所,,
487,85度C,,
488,聯穎光電股份有限公司,,
489,聯華學苑,,
490,衡宇科技股份有限公司,,
491,育品生物科技股份有限公司,,
492,中強光電股份有限公司,,
493,工研院,,
494,晶心科技股份有限公司,,
495,翔鑫堡,,
496,土地銀行總行,,
497,文森設計印刷有限公司,,
498,雲朗觀光股份有限公司,,
499,綠果子,,
500,寵物澡堂工作室,,
501,拉奇企業股份有限公司,,
502,漢穎科技股份有限公司,,
503,17,,
504,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理臺北市健康托嬰中心,,
505,志晟鋼模塑膠股份有限公司,,
506,全曜財經股份有限公司,,
507,富邦人壽保險股份有限公司,,
508,科盛科技股份有限公司,,
509,藍天電腦,,
510,台南和逸親子飯店,,
511,超豐電子,,
512,威肯公共關係顧問股份有限公司,,
513,成中恆營造股份有限公司,,
514,亞福儲能股份有限公司,,
515,麗尊開發股份有限公司,,
516,光寶匯才資訊服務股份有限公司,,
517,春水堂科技娛樂股份有限公司,,
518,紀伊國屋書店股份有限公司,,
519,東森得意購,,
520,建準電機工業股份有限公司,,
521,大陸商蘇州天脈科技有限公司在台分公司,,
522,趨勢科技股份有限公司,,
523,旭海國際科技股份有限公司,,
524,宏碁股份有限公司,,
525,MICROSOFTX,,
526,政美應用股份有限公司,,
527,美廉社,,
528,兆立科技實業股份有限公司,,
529,雷益,,
530,尚澄法律事務所,,
531,立本會計師事務所,,
532,坤侑科技資訊社,,
533,美商半導體產業協會台灣分公司,,
534,敦南科技股份有限公司,,
535,燦坤實業股份有限公司,,
536,大立光電股份有限公司,,
537,聯華電子,,
538,舞動陽光有限公司,,
539,和昕精密科技有限公司,,
540,台新國際商業銀行股份有限公司,,
541,訊舟科技股份有限公司,,
542,工業技術研究院,,
543,三陽工業股份有限公司,,
544,實力媒體,,
545,杏一醫療用品股份有限公司,,
546,景翊科技股份有限公司,,
547,亞旭電腦股份有限公司,,
548,711,,
549,政美,,
550,歐司朗,,
551,台新銀行,,
552,新光人壽股份有限公司,,
553,名衍行銷有限公司,,
554,榮剛材料科技股份有限公司,,
555,燦陽,,
556,富銘集團_星誠有限公司,,
557,鉅祥企業股份有限公司,,
558,綠點,,
559,聯發科,,
560,勤業眾信風險管理諮詢股份有限公司,,
561,大潤發,,
562,海威科技有限公司,,
563,漢翔航空工業股份有限公司,,
564,耐特普羅資訊股份有限公司,,
565,賞霖創藝股份有限公司,,
566,泰金寶電通股份有限公司,,
567,品固企業股份有限公司,,
568,傲視科技,,
569,啄木鳥動物醫院,,
570,華創車電技術中心股份有限公司,,
571,佳樂事達科技有限公司,,
572,泰成機械股份有限公司,,
573,中國信託有限公司,,
574,開原報關股份有限公司,,
575,大同股份有限公司,,
576,宏齊科技,,
577,捷智科技股份有限公司,,
578,統聯汽車客運股份有限公司,,
579,子佳國際企業有限公司,,
580,谷林企業行　　　　　　　　　　　　　　　　　　　　　　　　　,,
581,台耀化學股份有限公司,,
582,國立清華大學,,
583,正崴精密工業股份有限公司,,
584,國家教育研究院,,
585,同欣電子工業股份有限公司,,
586,元大人壽股份有限公司,,
587,高登智慧科技股份有限公司,,
588,微星科技,,
589,喬安旅行社股份有限公司,,
590,天然養生堂實業有限公司,,
591,鴻大旅行社有限公司,,
592,小北百貨有限公司,,
593,福客旅行社股份有限公司,,
594,良友旅行社股份有限公司,,
595,友泰國際旅行社股份有限公司,,
596,九如實業股份有限公司,,
597,潔樂工業股份有限公司,,
598,威齊織品科技有限公司,,
599,廣佑科技股份有限公司,,
600,威能企業有限公司,,
601,台灣大車隊股份有限公司,,
602,愛買樂生活事業股份有限公司,,
603,蔬果大王有限公司,,
604,東鉅能源科技實業有限公司,,
605,佳能企業股份有限公司,,
606,永光化學工業有限公司,,
607,元利盛精密機械股份有限公司,,
608,愛買,,
609,銓隆工業股份有限公司,,
610,飛達科視覺設備股份有限公司,,
611,韓金婆婆食品行,,
612,研究院分公司,,
613,長興材料,,
614,台北高通,,
615,盛晶科技股份有限公司,,
616,美商柏恩亞太股份有限公司,,
617,宏正自動科技股份有限公司,,
618,德民中醫,,
619,南僑油脂,,
620,盟創科技股份有限公司,,
621,戴爾科技,,
622,育兒生活,,
623,銀翼餐飲事業有限公司,,
624,旺矽科技股份有限公司,,
625,中興電工,,
626,HTC,,
627,全曜財經資訊股份有限公司,,
628,聯鈞光電股份有限公司,,
629,利晉工程股份有限公司,,
630,新潔明牙醫,,
631,長春人造樹脂廠股份有限公司,,
632,川鼎,,
633,智寶行銷,,
634,飛雁有限公司,,
635,晶茂資訊科技股份有限公司,,
636,大億交通工業製造股份有限公司,,
637,華義股份有限公司,,
638,帝王蟹半導體,,
639,漢衛科技股份有限公司,,
640,大昌華嘉,,
641,工研院綠能所,,
642,坤侑科技資訊有限公司,,
643,志聖工業,,
644,台灣三洋電機股份有限公司,,
645,台灣美光記憶體股份有限公司,,
646,富號,,
647,台北榮民總醫院,,
648,長春,,
649,美光科技有限公司,,
650,鋼士特,,
651,忠儀企業股份有限公司,,
652,清盛電子股份有限公司,,
653,擎元精密機械股份有限公司,,
654,緯創資通,,
655,艾克爾國際科技股份有限公司,,
656,貿聯國際股份有限公司,,
657,我適文創,,
658,華創車電,,
659,廣達,,
660,灣聯貿易有限公司,,
661,人才天下有限公司,,
662,全家,,
663,麥當勞飲食店,,
664,科定企業股份有限公司,,
665,穩懋半導體股份有限公司,,
666,鈜寶,,
667,國巨電子股份有限公司,,
668,中磊科技股份有限公司,,
669,暉順機電有限公司,,
670,源豐精密股份有限公司,,
671,東騰創新投資股份有限公司,,
672,財團法人台灣經濟研究院,,
673,點睛科技股份有限公司,,
674,鎮麟升大學中心,,
675,賀眾企業股份有限公司,,
676,國立台灣科技大學,,
677,席德曼國際貿易有限公司,,
678,星星股份有限公司,,
679,麥當勞,,
680,震虎精密科技股份有限公司,,
681,果遊資訊,,
682,艾克爾,,
683,美商英特爾亞太科技有限公司,,
684,公視,,
685,花旗(台灣)商業銀行股份有限公司,,
686,永豐證券投資顧問股份有限公司,,
687,上銀,,
688,鴻光管理顧問有限公司,,
689,有物設計有限公司,,
